* Sea Surface Temperature timeseries for an undisclosed location in the ocean.
* This dataset was prepared for a Class Project for Basic Computer Skills 2
* At the Cape Peninsula University of Technology.
* Column 1: UTC Date and Time [YYYYMMDDHHMMSS]
* Column 2: Sea Surface Temperature [Deg.C]
"20190905122846,15.4462"
"20190905122852,15.4466"
"20190905122858,15.4465"
"20190905122904,15.4467"
"20190905122910,15.4477"
"20190905122916,15.4480"
"20190905122922,15.4485"
"20190905122928,15.4492"
"20190905122934,15.4489"
"20190905122940,15.4494"
"20190905122946,15.4493"
"20190905122952,15.4496"
"20190905122958,15.4499"
"20190905123004,15.4510"
"20190905123010,15.4524"
"20190905123016,15.4520"
"20190905123022,15.4517"
"20190905123028,15.4525"
"20190905123034,15.4536"
"20190905123040,15.4532"
"20190905123046,15.4534"
"20190905123052,15.4539"
"20190905123058,15.4537"
"20190905123104,15.4540"
"20190905123110,15.4542"
"20190905123116,15.4538"
"20190905123122,15.4534"
"20190905123128,15.4538"
"20190905123134,15.4545"
"20190905123140,15.4549"
"20190905123146,15.4543"
"20190905123152,15.4545"
"20190905123158,15.4538"
"20190905123204,15.4520"
"20190905123210,15.4521"
"20190905123216,15.4519"
"20190905123222,15.4516"
"20190905123228,15.4521"
"20190905123234,15.4517"
"20190905123240,15.4519"
"20190905123246,15.4510"
"20190905123252,15.4511"
"20190905123258,15.4513"
"20190905123304,15.4514"
"20190905123310,15.4508"
"20190905123316,15.4505"
"20190905123322,15.4504"
"20190905123328,15.4505"
"20190905123334,15.4506"
"20190905123340,15.4506"
"20190905123346,15.4505"
"20190905123352,15.4505"
"20190905123358,15.4516"
"20190905123404,15.4527"
"20190905123410,15.4536"
"20190905123416,15.4540"
"20190905123422,15.4540"
"20190905123428,15.4548"
"20190905123434,15.4552"
"20190905123440,15.4561"
"20190905123446,15.4553"
"20190905123452,15.4545"
"20190905123458,15.4547"
"20190905123504,15.4551"
"20190905123510,15.4546"
"20190905123516,15.4546"
"20190905123522,15.4544"
"20190905123528,15.4539"
"20190905123534,15.4535"
"20190905123540,15.4525"
"20190905123546,15.4517"
"20190905123552,15.4525"
"20190905123558,15.4517"
"20190905123604,15.4510"
"20190905123610,15.4515"
"20190905123616,15.4517"
"20190905123622,15.4509"
"20190905123628,15.4516"
"20190905123634,15.4520"
"20190905123640,15.4529"
